iter	Passed	Remaining
0	0	61
1	1	60
2	1	58
3	2	55
4	2	53
5	3	51
6	3	51
7	4	50
8	4	50
9	5	49
10	6	49
11	6	48
12	7	48
13	7	47
14	8	47
15	8	46
16	9	45
17	9	45
18	10	44
19	10	43
20	11	43
21	12	42
22	12	42
23	13	41
24	13	41
25	14	40
26	14	40
27	15	39
28	16	39
29	16	38
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	20	35
36	20	35
37	21	34
38	21	34
39	22	33
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	26	30
46	26	30
47	27	29
48	28	29
49	28	28
50	29	28
51	29	27
52	30	27
53	31	26
54	31	26
55	32	25
56	33	25
57	34	24
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	40	19
67	40	19
68	41	18
69	42	18
70	42	17
71	43	16
72	44	16
73	44	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	49	11
81	49	10
82	50	10
83	51	9
84	51	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	56	4
92	56	4
93	57	3
94	57	3
95	58	2
96	59	1
97	59	1
98	60	0
99	60	0
